"id","userId","date","inTime","outTime","status","isLate","createdAt","inTime1","outTime1","inBranch1","outBranch1","inTime2","outTime2","inBranch2","outBranch2","inTime3","outTime3","inBranch3","outBranch3","inTime4","outTime4","inTime5","outTime5","info","info1","info2","info3","info4","info5"
"1544","47","2026-06-02T18:30:00.000Z","2026-06-03T01:37:45.380Z","2026-06-03T11:30:45.299Z","OUT","true","2026-06-03T01:37:45.386Z","2026-06-03T01:37:45.380Z","2026-06-03T11:30:45.299Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1555","54","2026-06-02T18:30:00.000Z","2026-06-03T03:11:27.748Z","2026-06-03T11:31:32.888Z","OUT","false","2026-06-03T03:11:27.753Z","2026-06-03T03:11:27.748Z","2026-06-03T11:31:32.888Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1561","82","2026-06-02T18:30:00.000Z","2026-06-03T03:00:00.000Z","2026-06-03T08:30:00.000Z","OUT","true","2026-06-03T03:58:36.436Z","2026-06-03T03:00:00.000Z","2026-06-03T08:30:00.000Z","HNM","HNM","","","","","","","","","","","","","","still confused with salary and timings","","","",""
"1600","57","2026-06-03T18:30:00.000Z","2026-06-04T01:46:33.778Z","2026-06-04T14:30:13.127Z","OUT","true","2026-06-04T01:46:33.784Z","2026-06-04T01:46:33.778Z","2026-06-04T05:30:10.152Z","HNM","HNM","2026-06-04T10:13:23.600Z","2026-06-04T14:30:13.127Z","HNM","HNM","","","","","","","","","","","","","",""
"1587","81","2026-06-02T18:30:00.000Z","2026-06-03T11:58:12.961Z","","IN","false","2026-06-03T11:58:12.972Z","2026-06-03T11:58:12.961Z","","JNR","","","","","","","","","","","","","","","","","","",""
"1563","50","2026-06-02T18:30:00.000Z","2026-06-03T04:22:04.402Z","2026-06-03T12:01:48.770Z","OUT","false","2026-06-03T04:22:04.412Z","2026-06-03T04:22:04.402Z","2026-06-03T12:01:48.770Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1543","63","2026-06-02T18:30:00.000Z","2026-06-03T01:31:53.229Z","2026-06-03T06:18:25.726Z","OUT","true","2026-06-03T01:31:53.234Z","2026-06-03T01:31:53.229Z","2026-06-03T06:18:25.726Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1588","61","2026-06-02T18:30:00.000Z","2026-06-03T12:02:22.626Z","","IN","true","2026-06-03T12:02:22.630Z","2026-06-03T12:02:22.626Z","","HNM","","","","","","","","","","","","","","","","","","",""
"1564","55","2026-06-02T18:30:00.000Z","2026-06-03T04:22:51.259Z","2026-06-03T12:30:10.968Z","OUT","false","2026-06-03T04:22:51.269Z","2026-06-03T04:22:51.259Z","2026-06-03T12:30:10.968Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1554","80","2026-06-02T18:30:00.000Z","2026-06-03T03:09:09.148Z","2026-06-03T12:32:24.724Z","OUT","true","2026-06-03T03:09:09.154Z","2026-06-03T03:09:09.148Z","2026-06-03T12:32:24.724Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1558","52","2026-06-02T18:30:00.000Z","2026-06-03T03:51:34.319Z","2026-06-03T12:37:33.997Z","OUT","true","2026-06-03T03:51:34.324Z","2026-06-03T03:51:34.319Z","2026-06-03T12:37:33.997Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1596","63","2026-06-03T18:30:00.000Z","2026-06-04T01:31:45.027Z","2026-06-04T06:04:20.706Z","OUT","true","2026-06-04T01:31:45.032Z","2026-06-04T01:31:45.027Z","2026-06-04T06:04:20.706Z","HNM","HNM","","","","","","","","","","","","","","","","","",""
"1559","43","2026-06-02T18:30:00.000Z","2026-06-03T03:51:54.829Z","2026-06-03T12:59:55.209Z","OUT","false","2026-06-03T03:51:54.831Z","2026-06-03T03:51:54.829Z","2026-06-03T12:59:55.209Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1540","71","2026-06-02T18:30:00.000Z","2026-06-03T01:28:51.438Z","2026-06-03T08:41:17.471Z","OUT","false","2026-06-03T01:28:51.447Z","2026-06-03T01:28:51.438Z","2026-06-03T08:41:17.471Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1557","75","2026-06-02T18:30:00.000Z","2026-06-03T03:18:05.688Z","2026-06-03T13:34:58.188Z","OUT","false","2026-06-03T03:18:05.695Z","2026-06-03T03:18:05.688Z","2026-06-03T13:34:58.188Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
"1550","44","2026-06-02T18:30:00.000Z","2026-06-03T02:32:48.973Z","2026-06-03T10:01:10.784Z","OUT","true","2026-06-03T02:32:48.981Z","2026-06-03T02:32:48.973Z","2026-06-03T10:01:10.784Z","JNR","JNR","","","","","","","","","","","","","","","","","",""
